angle,rate
-2.5,9.4
-2.4,8.4
-2.3,7.9
-2.2,10
-2.1,9.8
-2,9.1
-1.9,9.8
-1.8,11.6
-1.7,12.3
-1.6,13.3
-1.5,16.9
-1.4,17.2
-1.3,45.3
-1.2,104.2
-1.1,227.6
-1,411.8
-0.9,669.2
-0.8,1367.7
-0.7,3469.8
-0.6,7631.9
-0.5,10507.9
-0.4,10044.6
-0.3,9059.1
-0.2,8613.7
-0.1,8393.7
0,8296.5
0.1,8324
0.2,8469
0.3,8791.6
0.4,9282.3
0.5,10224.6
0.6,10568.6
0.7,7216
0.8,2344
0.9,304.9
1,68.8
1.1,20.6
1.2,19
1.3,17.6
1.4,15.4
1.5,13.9
1.6,14.4
1.7,11.4
1.8,14.5
1.9,11.4
2,12.3
2.1,10.1
2.2,10.5
2.3,10
2.4,11
2.5,8.9
